议员姓名,年份,所属党派,备注
Gabriele Schmidt (ühlingen),2016,CDU/CSU,
Gabriele Schmidt (ühlingen),2017,CDU/CSU,
Gabriele Wiechatzek,1991,CDU/CSU,
Gabriele Wiechatzek,1992,CDU/CSU,
Gabriele Wiechatzek,1993,CDU/CSU,
Gallus,1970,FDP,
Gallus,1971,FDP,
Gallus,1972,FDP,
Gallus,1973,FDP,
Gallus,1974,FDP,
Gallus,1975,FDP,
Gallus,1976,FDP,
Gallus,1977,FDP,
Gallus,1979,FDP,
Gallus,1981,FDP,
Gallus,1982,FDP,
Gallus,1983,FDP,
Gallus,1984,FDP,
Gallus,1985,FDP,
Gallus,1986,FDP,
Gallus,1987,FDP,
Gallus,1988,FDP,
Gallus,1989,FDP,
Gallus,1990,FDP,
Ganschow,1991,FDP,
Gansel,1973,SPD,
Gansel,1974,SPD,
Gansel,1975,SPD,
Gansel,1976,SPD,
Gansel,1977,SPD,
Gansel,1978,SPD,
Gansel,1979,SPD,
Gansel,1980,SPD,
Gansel,1981,SPD,
Gansel,1982,SPD,
Gansel,1983,SPD,
Gansel,1984,SPD,
Gansel,1985,SPD,
Gansel,1986,SPD,
Gansel,1987,SPD,
Gansel,1988,SPD,
Gansel,1989,SPD,
Gansel,1990,SPD,
Gansel,1991,SPD,
Ganz (Sankt Wendel),1981,CDU/CSU,
Ganz (St. Wendel),1981,CDU/CSU,
Ganz (St. Wendel),1984,CDU/CSU,
Ganz (St. Wendel),1985,CDU/CSU,
Ganz (St. Wendel),1986,CDU/CSU,
Ganz (St. Wendel),1987,CDU/CSU,
Ganz (St. Wendel),1988,CDU/CSU,
Ganz (St. Wendel),1989,CDU/CSU,
Ganz (St. Wendel),1990,CDU/CSU,
Ganz (St.Wendel),1988,CDU/CSU,
Ganzel,1975,SPD,
Garrelt Duin,2006,SPD,
Garrelt Duin,2007,SPD,
Garrelt Duin,2008,SPD,
Garrelt Duin,2009,SPD,
Garrelt Duin,2010,SPD,
Garrelt Duin,2011,SPD,
Garrelt Duin,2012,SPD,
Gattermann,1977,FDP,
Gattermann,1978,FDP,
Gattermann,1979,FDP,
Gattermann,1980,FDP,
Gattermann,1981,FDP,
Gattermann,1982,FDP,
Gattermann,1983,FDP,
Gattermann,1984,FDP,
Gattermann,1985,FDP,"该年属于多个党派: SPD, FDP"
Gattermann,1985,SPD,"该年属于多个党派: SPD, FDP"
Gattermann,1986,FDP,
Gattermann,1987,FDP,
Gattermann,1988,FDP,
Gattermann,1989,FDP,
Gattermann,1990,FDP,
Gaul,1950,FDP,
Gaul,1951,FDP,
Gaul,1952,FDP,
Gaul,1953,FDP,
Gaul,1954,FDP,
Gaul,1955,FDP,
Gaul,1956,FDP,
Gaul,1957,FDP,
"Gaul, Berichterstatter",1950,FDP,
"Gaul, Berichterstatter",1951,FDP,
Ga?mann,1959,CDU/CSU,
Ga?mann,1962,CDU/CSU,
Ga?mann,1963,CDU/CSU,
Ga?mann,1965,CDU/CSU,
GeIsenhofer,1977,CDU/CSU,
Gedat,1954,CDU/CSU,
Gedat,1964,CDU/CSU,
Gehring,1963,CDU/CSU,
Geiger,1961,SPD,
Geiger,1962,SPD,
Geiger,1963,SPD,
Geiger,1964,SPD,
Geiger,1965,SPD,
Geiger,1966,SPD,
Geiger,1967,SPD,
Geiger,1968,SPD,
Geiger,1969,SPD,
Geiger,1970,SDP,"该年属于多个党派: SPD, SDP"
Geiger,1970,SPD,"该年属于多个党派: SPD, SDP"
Geiger,1971,SPD,
Geiger,1972,SPD,
Geiger,1973,SPD,
Geiger,1974,SPD,
Geiger,1975,SPD,
Geiger,1976,SPD,
Geiger (Aalen),1956,SPD,
Geiger (Aalen),1957,SPD,
Geiger (Aalen),1958,SPD,
Geiger (Aalen),1959,SPD,
Geiger (Aalen),1960,SPD,
Geiger (Aalen),1961,SPD,
Geiger (Aalen),1965,SPD,
"Geiger (Aalen), Berichterstatter",1957,SPD,
Geiger (München),1955,CDU/CSU,
Geiger (München),1956,CDU/CSU,
Geiger (München),1957,CDU/CSU,
Geiger (München),1958,CDU/CSU,
Geiger (München),1959,CDU/CSU,
"Geiger (München), Anfragender",1957,CDU/CSU,
"Geiger (München), Antragsteller",1955,CDU/CSU,
"Geiger (München), Berichterstatter",1954,CDU/CSU,
"Geiger (München), Berichterstatter",1955,CDU/CSU,
Geis,1987,CDU/CSU,
Geis,1988,CDU/CSU,
Geis,1989,CDU/CSU,
Geis,1990,CDU/CSU,
Geis,1991,CDU/CSU,
Geisenhofer,1967,CDU/CSU,
Geisenhofer,1968,CDU/CSU,
Geisenhofer,1969,CDU/CSU,
Geisenhofer,1970,CDU/CSU,
Geisenhofer,1971,CDU/CSU,
Geisenhofer,1972,CDU/CSU,
Geisenhofer,1973,CDU/CSU,
Geisenhofer,1974,CDU/CSU,
Geisenhofer,1975,CDU/CSU,
Geisenhofer,1976,CDU/CSU,
Geisenhofer,1977,CDU/CSU,
Geisenhofer,1978,CDU/CSU,
Geisenhofer,1979,CDU/CSU,
Geldner,1966,FDP,
Geldner,1967,FDP,
Geldner,1968,FDP,
Geldner,1969,FDP,
Geldner,1970,FDP,
Geldner,1971,FDP,
Geldner,1972,FDP,
Geldner,1973,FDP,
Geldner,1974,FDP,
Geldner,1975,FDP,
Gemein,1956,GB/BHE,
Gemot Eder,1994,SPD,
Gengier,1950,CDU/CSU,
Gengier,1951,CDU/CSU,
Gengier,1952,CDU/CSU,
Gengier,1955,CDU/CSU,
Gengier,1956,CDU/CSU,
"Gengier, Antragsteller",1950,CDU/CSU,
"Gengier, Berichterstatter",1951,CDU/CSU,
"Gengier, Berichterstatter",1952,CDU/CSU,
Gengler,1949,CDU/CSU,
Gengler,1950,CDU/CSU,
Gengler,1951,CDU/CSU,
Gengler,1952,CDU/CSU,
Gengler,1953,CDU/CSU,
Gengler,1954,CDU/CSU,
Gengler,1955,CDU/CSU,
Gengler,1957,CDU/CSU,
"Gengler, Antragsteller",1951,CDU/CSU,
"Gengler, Antragsteller",1955,CDU/CSU,
"Gengler, Berichterstatter",1949,CDU/CSU,
"Gengler, Berichterstatter",1950,CDU/CSU,
"Gengler, Berichterstatter",1951,CDU/CSU,
"Gengler, Berichterstatter",1952,CDU/CSU,
"Gengler, Berichterstatter",1953,CDU/CSU,
"Gengler, Berichterstatter",1954,CDU/CSU,
"Gengler, Berichterstatter",1955,CDU/CSU,
Genscher,1965,FDP,
Genscher,1966,FDP,
Genscher,1967,FDP,
Genscher,1968,FDP,
Genscher,1969,FDP,
Genscher,1975,FDP,
Genscher,1976,FDP,
Genscher,1977,FDP,
Genscher,1978,FDP,
Genscher,1979,FDP,
Genscher,1980,FDP,
Genscher,1981,FDP,
Genscher,1982,FDP,
Genscher,1983,FDP,"该年属于多个党派: FPD, FDP"
Genscher,1983,FPD,"该年属于多个党派: FPD, FDP"
Genscher,1984,FDP,
Genscher,1986,FDP,
Genscher,1991,FDP,
Genscher ′,1966,FDP,
Georg Brunnhuber,1991,CDU/CSU,
Georg Brunnhuber,1992,CDU/CSU,
Georg Brunnhuber,1993,CDU/CSU,
Georg Brunnhuber,1996,CDU/CSU,
Georg Brunnhuber,1997,CDU/CSU,
Georg Brunnhuber,1998,CDU/CSU,
Georg Brunnhuber,1999,CDU/CSU,
Georg Brunnhuber,2000,CDU/CSU,
Georg Brunnhuber,2001,CDU/CSU,
Georg Brunnhuber,2002,CDU/CSU,
Georg Brunnhuber,2003,CDU/CSU,
Georg Brunnhuber,2004,CDU/CSU,
Georg Brunnhuber,2005,CDU/CSU,
Georg Brunnhuber,2007,CDU/CSU,
Georg Fahrenschon,2002,CDU/CSU,
Georg Fahrenschon,2003,CDU/CSU,
Georg Fahrenschon,2004,CDU/CSU,
Georg Fahrenschon,2005,CDU/CSU,
Georg Fahrenschon,2006,CDU/CSU,
Georg Fahrenschon,2007,CDU/CSU,
Georg Gallus,1991,FDP,
Georg Gallus,1992,FDP,
Georg Gallus,1993,FDP,
Georg Gallus,1994,FDP,
Georg Girisch,1998,CDU/CSU,
Georg Girisch,1999,CDU/CSU,
Georg Girisch,2000,CDU/CSU,
Georg Girisch,2001,CDU/CSU,
Georg Girisch,2002,CDU/CSU,
Georg Girisch,2003,CDU/CSU,
Georg Girisch,2004,CDU/CSU,
Georg Girisch,2005,CDU/CSU,
Georg Janovsky,1991,CDU/CSU,
Georg Janovsky,1992,CDU/CSU,
Georg Janovsky,1999,CDU/CSU,
Georg Janovsky,2000,CDU/CSU,
Georg Janovsky,2001,CDU/CSU,
Georg Janovsky,2002,CDU/CSU,
Georg Pfannenstein,1995,SPD,
Georg Pfannenstein,1996,SPD,
Georg Pfannenstein,1997,SPD,
Georg Pfannenstein,2000,SPD,
Georg Pfannenstein,2001,SPD,
Georg Schirmbeck,2002,CDU/CSU,
Georg Schirmbeck,2003,CDU/CSU,
Georg Schirmbeck,2004,CDU/CSU,
Georg Schirmbeck,2005,CDU/CSU,
Georg Schirmbeck,2006,CDU/CSU,
Georg Schirmbeck,2007,CDU/CSU,
Georg Schirmbeck,2008,CDU/CSU,
Georg Schirmbeck,2010,CDU/CSU,
Georg Schirmbeck,2011,CDU/CSU,
Georg Schirmbeck,2012,CDU/CSU,
Georg Schirmbeck,2013,CDU/CSU,
Gerald H?fner,1994,Grüne/Bündnis 90,
Gerald H?fner,1995,Grüne/Bündnis 90,
Gerald H?fner,1996,Grüne/Bündnis 90,
Gerald H?fner,1997,Grüne/Bündnis 90,
Gerald H?fner,1998,Grüne/Bündnis 90,
Gerald H?fner,2001,Grüne/Bündnis 90,
Gerald H?fner,2002,Grüne/Bündnis 90,
Gerald Thalheim,1993,SPD,
Gerald Ullrich,2018,FDP,
Gerald Ullrich,2019,FDP,
Gerald Ullrich,2020,FDP,
Gerald Wei? (Gro?-Gerau),1999,CDU/CSU,
Gerald Wei? (Gro?-Gerau),2000,CDU/CSU,
Gerald Wei? (Gro?-Gerau),2001,CDU/CSU,
Gerald Wei? (Gro?-Gerau),2002,CDU/CSU,
Gerald Wei? (Gro?-Gerau),2003,CDU/CSU,
Gerald Wei? (Gro?-Gerau),2004,CDU/CSU,
Gerald Wei? (Gro?-Gerau),2005,CDU/CSU,
Gerald Wei? (Gro?-Gerau),2006,CDU/CSU,
Gerald Wei? (Gro?-Gerau),2007,CDU/CSU,
Gerald Wei? (Gro?-Gerau),2008,CDU/CSU,
Gerald Wei? (Gro?-Gerau),2009,CDU/CSU,
Gerd Andres,1991,SPD,
Gerd Andres,1992,SPD,
Gerd Andres,1993,SPD,
Gerd Andres,1994,SPD,
Gerd Andres,1995,SPD,
Gerd Andres,1996,SPD,
Gerd Andres,1997,SPD,
Gerd Andres,1998,SPD,
Gerd Andres,1999,SPD,
Gerd Andres,2000,SPD,
Gerd Andres,2001,SPD,
Gerd Andres,2002,SPD,
Gerd Andres,2003,SPD,
Gerd Andres,2004,SPD,
Gerd Andres,2005,SPD,
Gerd Andres,2007,SPD,
Gerd Andres,2008,SPD,
Gerd Bollmann,2006,SPD,
Gerd Bollmann,2007,SPD,
Gerd Bollmann,2008,SPD,
Gerd Bollmann,2009,SPD,
Gerd Bollmann,2010,SPD,
Gerd Bollmann,2011,SPD,
Gerd Bollmann,2012,SPD,
Gerd Bollmann,2013,SPD,
Gerd Friedrich Bollmann,2003,SPD,
Gerd Friedrich Bollmann,2004,SPD,
Gerd H?fer,1996,SPD,
Gerd H?fer,1997,SPD,
Gerd H?fer,1998,SPD,
Gerd H?fer,1999,SPD,
Gerd H?fer,2001,SPD,
Gerd H?fer,2002,SPD,
Gerd H?fer,2003,SPD,
Gerd H?fer,2004,SPD,
Gerd H?fer,2006,SPD,
Gerd H?fer,2007,SPD,
Gerd H?fer,2008,SPD,
Gerd H?fer,2009,SPD,
Gerd Poppe,1991,Grüne/Bündnis 90,
Gerd Poppe,1992,Grüne/Bündnis 90,
Gerd Poppe,1993,Grüne/Bündnis 90,
Gerd Poppe,1994,Grüne/Bündnis 90,
Gerd Poppe,1995,Grüne/Bündnis 90,
Gerd Poppe,1996,Grüne/Bündnis 90,
Gerd Poppe,1997,Grüne/Bündnis 90,
Gerd Poppe,1998,Grüne/Bündnis 90,
Gerd Wartenberg (Berlin),1991,SPD,
Gerd Wartenberg (Berlin),1992,SPD,
Gerd Wartenberg (Berlin),1993,SPD,
Gerd Wartenberg (Berlin),1994,SPD,
Gerd Winkelmeier,2008,Fraktionslos,
Gerda Hasselfeld,1993,CDU/CSU,
Gerda Hasselfeldt,1991,CDU/CSU,
Gerda Hasselfeldt,1993,CDU/CSU,
Gerda Hasselfeldt,1995,CDU/CSU,
Gerda Hasselfeldt,1996,CDU/CSU,
Gerda Hasselfeldt,1997,CDU/CSU,
Gerda Hasselfeldt,1998,CDU/CSU,
Gerda Hasselfeldt,1999,CDU/CSU,
Gerda Hasselfeldt,2000,CDU/CSU,
Gerda Hasselfeldt,2001,CDU/CSU,
Gerda Hasselfeldt,2002,CDU/CSU,
Gerda Hasselfeldt,2003,CDU/CSU,
Gerda Hasselfeldt,2004,CDU/CSU,
Gerda Hasselfeldt,2005,CDU/CSU,
Gerda Hasselfeldt,2006,CDU/CSU,
Gerda Hasselfeldt,2007,CDU/CSU,
Gerda Hasselfeldt,2009,CDU/CSU,
Gerda Hasselfeldt,2010,CDU/CSU,
Gerda Hasselfeldt,2011,CDU/CSU,
Gerda Hasselfeldt,2012,CDU/CSU,
Gerda Hasselfeldt,2013,CDU/CSU,
Gerda Hasselfeldt,2014,CDU/CSU,
Gerda Hasselfeldt,2015,CDU/CSU,
Gerda Hasselfeldt,2016,CDU/CSU,
Gerda Hasselfeldt,2017,CDU/CSU,
Gerhard Drexler,2013,FDP,
Gerhard Jüttemann,1995,PDS,
Gerhard Jüttemann,1996,PDS,
Gerhard Jüttemann,1997,PDS,
Gerhard Jüttemann,1998,PDS,
Gerhard Jüttemann,1999,PDS,
Gerhard Jüttemann,2000,PDS,
Gerhard Jüttemann,2001,PDS,
Gerhard Jüttemann,2002,PDS,
Gerhard Neumann (Gotha),1991,SPD,
Gerhard Neumann (Gotha),1992,SPD,
Gerhard Neumann (Gotha),2001,SPD,
Gerhard Neumann (Gotha),2002,SPD,
Gerhard O. Pfeffermann,1991,CDU/CSU,
Gerhard Pfeffermann,1991,CDU/CSU,
Gerhard Reddemann,1991,CDU/CSU,
Gerhard Reddemann,1992,CDU/CSU,
Gerhard Reddemann,1993,CDU/CSU,
Gerhard Reddemann,1994,CDU/CSU,
Gerhard Rübenk?nig,1995,SPD,
Gerhard Rübenk?nig,1996,SPD,
Gerhard Rübenk?nig,1997,SPD,
Gerhard Rübenk?nig,1998,SPD,
Gerhard Rübenk?nig,1999,SPD,
Gerhard Rübenk?nig,2000,SPD,
Gerhard Rübenk?nig,2003,SPD,
Gerhard Rübenk?nig,2004,SPD,
Gerhard Rübenk?nig,2005,SPD,
Gerhard Scheu,1991,CDU/CSU,
Gerhard Scheu,1994,CDU/CSU,
Gerhard Scheu,1995,CDU/CSU,
Gerhard Scheu,1998,CDU/CSU,
Gerhard Schr?der,1998,SPD,
Gerhard Schr?der,2001,SPD,
Gerhard Schr?der,2002,SPD,
Gerhard Schr?der,2003,SPD,
Gerhard Schulz,2000,CDU/CSU,
Gerhard Schulz,2001,CDU/CSU,
Gerhard Schulz (Leipzig),1991,CDU/CSU,
Gerhard Schulz (Leipzig),1992,CDU/CSU,
Gerhard Schulz (Leipzig),1993,CDU/CSU,
Gerhard Schulz (Leipzig),1994,CDU/CSU,
Gerhard Schulz (Leipzig),1995,CDU/CSU,
Gerhard Schulz (Leipzig),1996,CDU/CSU,
Gerhard Schulz (Leipzig),1997,CDU/CSU,
Gerhard Schulz (Leipzig),1998,CDU/CSU,
Gerhard Schü?ler,1991,FDP,"该年属于多个党派: FPD, FDP"
Gerhard Schü?ler,1991,FPD,"该年属于多个党派: FPD, FDP"
Gerhard Schü?ler,1992,FDP,
Gerhard Schü?ler,1993,FDP,
Gerhard Schü?ler,1994,FDP,
Gerhard Schü?ler,1999,FDP,
Gerhard Schü?ler,2000,FDP,
Gerhard Schü?ler,2001,FDP,
Gerhard Schü?ler,2002,FDP,
Gerhard W?chter,2003,CDU/CSU,
Gerhard Zickenheiner,2019,BüNDNIS 90/DIE GRüNEN,"该年属于多个党派: BüNDNIS 90/DIE GRüNEN, BüNDNIS?90/DIE GRüNEN"
Gerhard Zickenheiner,2019,BüNDNIS?90/DIE GRüNEN,"该年属于多个党派: BüNDNIS 90/DIE GRüNEN, BüNDNIS?90/DIE GRüNEN"
Gerhard Zickenheiner,2020,BüNDNIS?90/DIE GRüNEN,
Gerhard Zwerenz,1994,PDS,
Gerhard Zwerenz,1995,PDS,
Gerhard Zwerenz,1996,PDS,
Gerhard Zwerenz,1997,PDS,
Gerhard Zwerenz,1998,PDS,
Gerhart Rudolf Baum,1991,FDP,
Gerhart Rudolf Baum,1992,FDP,
Gerhart Rudolf Baum,1993,FDP,
Gerhart Rudolf Baum,1994,FDP,
Geritzmann,1950,SPD,
Geritzmann,1953,SPD,
Gerlach,1962,SPD,
Gerlach,1963,SPD,
Gerlach,1964,SPD,
Gerlach,1965,SPD,
Gerlach,1966,SPD,
Gerlach,1969,SPD,
Gerlach (Emsland),1970,SPD,
Gerlach (Obernau),1970,CDU/CSU,
Gerlach (Obernau),1971,CDU/CSU,
Gerlach (Obernau),1973,CDU/CSU,
Gerlach (Obernau),1974,CDU/CSU,
Gerlach (Obernau),1975,CDU/CSU,
Gerlach (Obernau),1976,CDU/CSU,
Gerlach (Obernau),1977,CDU/CSU,
Gerlach (Obernau),1979,CDU/CSU,
Gerlach (Obernau),1980,CDU/CSU,
Gerlach (Obernau),1981,CDU/CSU,
Gerlach (Obernau),1982,CDU/CSU,
Gerlach (Obernau),1983,CDU/CSU,
Gerlinde H?mmerle,1991,SPD,
Gerlinde H?mmerle,1992,SPD,
Gerlinde H?mmerle,1993,SPD,
Gerlinde Kaupa,2003,CDU/CSU,
Gerlinde Kaupa,2004,CDU/CSU,
Gerlinde Kaupa,2005,CDU/CSU,
Gernot Eder,1991,SPD,
Gernot Eder,1992,SPD,
Gernot Eder,1993,SPD,
Gernot Erler,1991,SPD,
Gernot Erler,1992,SPD,
Gernot Erler,1993,SPD,
Gernot Erler,1994,SPD,
Gernot Erler,1995,SPD,
Gernot Erler,1996,SPD,
Gernot Erler,1997,SPD,
Gernot Erler,1998,SPD,
Gernot Erler,1999,SPD,
Gernot Erler,2000,SPD,
Gernot Erler,2001,SPD,
Gernot Erler,2002,SPD,
Gernot Erler,2003,SPD,
Gernot Erler,2004,SPD,
Gernot Erler,2005,SPD,
Gernot Erler,2006,SPD,
"Gerns, Berichterstatter",1953,CDU/CSU,
Gero Storjohann,2002,CDU/CSU,
Gero Storjohann,2003,CDU/CSU,
Gero Storjohann,2004,CDU/CSU,
Gero Storjohann,2006,CDU/CSU,
Gero Storjohann,2007,CDU/CSU,
Gero Storjohann,2008,CDU/CSU,
Gero Storjohann,2009,CDU/CSU,
Gero Storjohann,2010,CDU/CSU,
Gero Storjohann,2011,CDU/CSU,
Gero Storjohann,2012,CDU/CSU,
Gero Storjohann,2013,CDU/CSU,
Gero Storjohann,2014,CDU/CSU,
Gero Storjohann,2015,CDU/CSU,
Gero Storjohann,2016,CDU/CSU,
Gero Storjohann,2017,CDU/CSU,
Gero Storjohann,2018,CDU/CSU,
Gero Storjohann,2019,CDU/CSU,
Gero Storjohann,2020,CDU/CSU,
Gero Storjohann,2021,CDU/CSU,
Gerold Otten,2017,AfD,
Gerold Otten,2018,AfD,
Gerold Otten,2019,AfD,
Gerold Otten,2020,AfD,
Gerold Otten,2021,AfD,
Gerold Reichenbach,2003,SPD,
Gerold Reichenbach,2004,SPD,
Gerold Reichenbach,2006,SPD,
Gerold Reichenbach,2007,SPD,
Gerold Reichenbach,2008,SPD,
Gerold Reichenbach,2009,SPD,
Gerold Reichenbach,2010,SPD,
Gerold Reichenbach,2011,SPD,
Gerold Reichenbach,2012,SPD,
Gerold Reichenbach,2013,SPD,
Gerold Reichenbach,2014,SPD,
Gerold Reichenbach,2015,SPD,
Gerold Reichenbach,2016,SPD,
Gerold Reichenbach,2017,SPD,
Gerstein,1977,CDU/CSU,
Gerstein,1978,CDU/CSU,
Gerstein,1979,CDU/CSU,
Gerstein,1980,CDU/CSU,
Gerstein,1981,CDU/CSU,
Gerstein,1982,CDU/CSU,
Gerstein,1983,CDU/CSU,
Gerstein,1984,CDU/CSU,
Gerstein,1985,CDU/CSU,
Gerstein,1986,CDU/CSU,
Gerstein,1987,CDU/CSU,
Gerstein,1988,CDU/CSU,
Gerstein,1989,CDU/CSU,
Gerstein,1990,CDU/CSU,
Gerster (Mainz),1973,CDU/CSU,
Gerster (Mainz),1974,CDU/CSU,
Gerster (Mainz),1975,CDU/CSU,
Gerster (Mainz),1976,CDU/CSU,
Gerster (Mainz),1977,CDU/CSU,
Gerster (Mainz),1978,CDU/CSU,
Gerster (Mainz),1979,CDU/CSU,
Gerster (Mainz),1980,CDU/CSU,
Gerster (Mainz),1981,CDU/CSU,
Gerster (Mainz),1982,CDU/CSU,
Gerster (Mainz),1983,CDU/CSU,
Gerster (Mainz),1984,CDU/CSU,
Gerster (Mainz),1985,CDU/CSU,
Gerster (Mainz),1986,CDU/CSU,
Gerster (Mainz),1987,CDU/CSU,
Gerster (Mainz),1988,CDU/CSU,
Gerster (Mainz),1989,CDU/CSU,
Gerster (Mainz),1990,CDU/CSU,
Gerster (Mainz),1991,CDU/CSU,
Gerster (Marnz),1989,CDU/CSU,
Gerster (Worms),1987,SPD,
Gerster (Worms),1988,SPD,
Gerster (Worms),1989,SPD,
Gerster (Worms),1990,SPD,
Gerstl (Passau),1975,CDU/CSU,"该年属于多个党派: SPD, CDU/CSU"
Gerstl (Passau),1975,SPD,"该年属于多个党派: SPD, CDU/CSU"
Gerstl (Passau),1977,SPD,
Gerstl (Passau),1978,SPD,
Gerstl (Passau),1980,SPD,
Gerstl (Passau),1981,SPD,
Gerstl (Passau),1984,SPD,
Gerstl (Passau),1985,SPD,
Gerstl (Passau),1986,SPD,
Gert Weisskirchen (Wiesloch),1991,SPD,
Gert Weisskirchen (Wiesloch),1992,SPD,
Gert Weisskirchen (Wiesloch),1993,SPD,
Gert Weisskirchen (Wiesloch),1994,SPD,
Gert Weisskirchen (Wiesloch),1995,SPD,
Gert Weisskirchen (Wiesloch),1996,SPD,
Gert Weisskirchen (Wiesloch),1997,SPD,
Gert Weisskirchen (Wiesloch),1998,SPD,
Gert Weisskirchen (Wiesloch),1999,SPD,
Gert Weisskirchen (Wiesloch),2000,SPD,
Gert Weisskirchen (Wiesloch),2001,SPD,
Gert Weisskirchen (Wiesloch),2002,SPD,
Gert Weisskirchen (Wiesloch),2003,SPD,
Gert Weisskirchen (Wiesloch),2004,SPD,
Gert Weisskirchen (Wiesloch),2005,SPD,
Gert Weisskirchen (Wiesloch),2006,SPD,
Gert Weisskirchen (Wiesloch),2007,SPD,
Gert Weisskirchen (Wiesloch),2008,SPD,
Gert Weisskirchen (Wiesloch),2009,SPD,
Gert Wiliner,1997,CDU/CSU,
Gert Willner,1995,CDU/CSU,
Gert Willner,1996,CDU/CSU,
Gert Willner,1997,CDU/CSU,
Gert Willner,1998,CDU/CSU,
Gert Willner,1999,CDU/CSU,
Gert Willner,2000,CDU/CSU,
Gert Winkelmeier,2006,Fraktionslos,
Gert Winkelmeier,2007,Fraktionslos,
Gert Winkelmeier,2008,Fraktionslos,
Gert Winkelmeier,2009,Fraktionslos,
Gertrud Dempwolf,1991,CDU/CSU,
Gertrud Dempwolf,1992,CDU/CSU,
Gertrud Dempwolf,1993,CDU/CSU,
Gertrud Dempwolf,1994,CDU/CSU,
Gescheidle,1965,SPD,
Gesine L?tzsch,2003,Fraktionslos,
Gesine L?tzsch,2004,Fraktionslos,
Gesine Multhaupt,2004,SPD,
Gesine Multhaupt,2008,SPD,
Gesine Multhaupt,2009,SPD,
Gibbert,1950,CDU/CSU,
Gibbert,1952,CDU/CSU,
Gibbert,1954,CDU/CSU,
Gibbert,1956,CDU/CSU,
Gibbert,1957,CDU/CSU,
Gibbert,1958,CDU/CSU,
Gibbert,1961,CDU/CSU,
Gibbert,1964,CDU/CSU,
Gibbert,1965,CDU/CSU,
Gibbert,1967,CDU/CSU,
Gibtner,1991,CDU/CSU,
Giencke,1955,CDU/CSU,
Giencke,1958,CDU/CSU,
Giencke,1959,CDU/CSU,
"Giencke, Berichterstatter",1953,CDU/CSU,
"Giencke, Berichterstatter",1955,CDU/CSU,
Gierenstein,1967,CDU/CSU,
Gierenstein,1968,CDU/CSU,
Gierenstein,1971,CDU/CSU,
Gierenstein,1972,CDU/CSU,
Gila Altmann (Aurich),1994,Grüne/Bündnis 90,
Gila Altmann (Aurich),1995,Grüne/Bündnis 90,
Gila Altmann (Aurich),1996,Grüne/Bündnis 90,
Gila Altmann (Aurich),1997,Grüne/Bündnis 90,
Gila Altmann (Aurich),1998,Grüne/Bündnis 90,
Gila Altmann (Aurich),1999,Grüne/Bündnis 90,
Gila Altmann (Aurich),2000,Grüne/Bündnis 90,
Gila Altmann (Aurich),2001,Grüne/Bündnis 90,
Gila Altmann (Aurich),2002,Grüne/Bündnis 90,
Gilges,1981,SPD,
Gilges,1982,SPD,
Gilges,1983,SPD,
Gilges,1984,SPD,
Gilges,1985,SPD,
Gilges,1986,SPD,
Gilges,1987,SPD,
Gilges,1988,SPD,
Gilges,1989,SPD,
Gilges,1990,SPD,
Ginnuttis,1981,SPD,
Ginnuttis,1982,SPD,
Giombig,1986,SPD,
Gisela Altmann (Aurich),1994,Grüne/Bündnis 90,
Gisela Frick,1995,FDP,
Gisela Frick,1996,FDP,
Gisela Frick,1997,FDP,
Gisela Frick,1998,FDP,
Gisela Frick,1999,FDP,
Gisela Frick,2000,FDP,
Gisela Frick,2001,FDP,
Gisela Hilbrecht,2003,SPD,
Gisela Hilbrecht,2004,SPD,
Gisela Manderla,2014,CDU/CSU,
Gisela Manderla,2015,CDU/CSU,
Gisela Manderla,2016,CDU/CSU,
Gisela Manderla,2017,CDU/CSU,
Gisela Manderla,2019,CDU/CSU,
Gisela Manderla,2020,CDU/CSU,
Gisela Manderla,2021,CDU/CSU,
Gisela Piltz,2003,FDP,
Gisela Piltz,2004,FDP,
Gisela Piltz,2005,FDP,
Gisela Piltz,2006,FDP,
Gisela Piltz,2007,FDP,
Gisela Piltz,2008,FDP,
Gisela Piltz,2009,FDP,
Gisela Piltz,2010,FDP,
Gisela Piltz,2011,FDP,
Gisela Piltz,2012,FDP,
Gisela Piltz,2013,FDP,
Gisela Schr?ter,1991,SPD,
Gisela Schr?ter,1992,SPD,
Gisela Schr?ter,1993,SPD,
Gisela Schr?ter,1994,SPD,
Gisela Schr?ter,1996,SPD,
Gisela Schr?ter,1997,SPD,
Gisela Schr?ter,1998,SPD,
Gisela Schr?ter,1999,SPD,
Gisela Schr?ter,2000,SPD,
Gisela Schr?ter,2001,SPD,
Gisela Schr?ter,2002,SPD,
Gisela Schr?ter,2003,SPD,
Gitta Connemann,2002,CDU/CSU,
Gitta Connemann,2003,CDU/CSU,
Gitta Connemann,2004,CDU/CSU,
Gitta Connemann,2005,CDU/CSU,
Gitta Connemann,2006,CDU/CSU,
Gitta Connemann,2007,CDU/CSU,
Gitta Connemann,2008,CDU/CSU,
Gitta Connemann,2009,CDU/CSU,
Gitta Connemann,2010,CDU/CSU,
Gitta Connemann,2011,CDU/CSU,
Gitta Connemann,2012,CDU/CSU,
Gitta Connemann,2013,CDU/CSU,
Gitta Connemann,2014,CDU/CSU,
Gitta Connemann,2015,CDU/CSU,
Gitta Connemann,2016,CDU/CSU,
Gitta Connemann,2017,CDU/CSU,
